"Name","SessionName","BeginTime","EndTime"
"Bill Taylor","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Mike Reiley","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Sue Hampton","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Mike Reiley","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Patrick Brennan","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Erin Seiler","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Sandy Thiele-Cirka","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Rick Berkobien","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Erin Seiler","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Erin Seiler","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Debbie Malone","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Rick Berkobien","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Debbie Malone","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Patrick Brennan","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Beth Reiley","2007 - 2008 Interim","2007-06-30T00:00:00","2009-01-11T00:00:00"
"Paul Warner","2008 Special Session","2008-02-04T00:00:00",""
"Ken Rocco","2008 Special Session","2008-02-04T00:00:00",""
"Mary Ayala","2008 Special Session","2008-02-04T00:00:00",""
"Chris Allanach","2008 Special Session","2008-02-04T00:00:00",""
"Mazen Malik","2008 Special Session","2008-02-04T00:00:00",""
"Steve Meyer","2008 Special Session","2008-02-04T00:00:00",""
"Carol- Phillips.","2008 Special Session","2008-02-04T00:00:00",""
"Gina Rumbaugh","2008 Special Session","2008-02-04T00:00:00",""
"Rick Berkobien","2008 Special Session","2008-02-04T00:00:00",""
"Mary Ayala","2008 Special Session","2008-02-04T00:00:00",""
"Chris Allanach","2008 Special Session","2008-02-04T00:00:00",""
"Mazen Malik","2008 Special Session","2008-02-04T00:00:00",""
"Steve Meyer","2008 Special Session","2008-02-04T00:00:00",""
"Erin Seiler","2008 Special Session","2008-02-04T00:00:00",""
"Marjorie Taylor","2008 Special Session","2008-02-04T00:00:00",""
"Mike Reiley","2008 Special Session","2008-02-04T00:00:00",""
"Mike Reiley","2008 Special Session","2008-02-04T00:00:00",""
"Paul Warner","2008 Special Session","2008-02-04T00:00:00",""
"Patrick Brennan","2008 Special Session","2008-02-04T00:00:00",""
"Carol- Phillips.","2008 Special Session","2008-02-04T00:00:00",""
"Rick Berkobien","2008 Special Session","2008-02-04T00:00:00",""
"Rick Berkobien","2008 Special Session","2008-02-04T00:00:00",""
"Erin Seiler","2008 Special Session","2008-02-04T00:00:00",""
"Sandy Thiele-Cirka","2008 Special Session","2008-02-04T00:00:00",""
"Mike Reiley","2008 Special Session","2008-02-04T00:00:00",""
"Dana Richardson","2008 Special Session","2008-02-04T00:00:00",""
"Erin Seiler","2008 Special Session","2008-02-04T00:00:00",""
"Sue Marshall","2008 Special Session","2008-02-04T00:00:00",""
"Susan Cook","2008 Special Session","2008-02-04T00:00:00",""
"Beth Patrino","2008 Special Session","2008-02-04T00:00:00",""
"Mike Reiley","2008 Special Session","2008-02-04T00:00:00",""
"Erin Seiler","2008 Special Session","2008-02-04T00:00:00",""
"Dana Richardson","2008 Special Session","2008-02-04T00:00:00",""
"Susan Cook","2008 Special Session","2008-02-04T00:00:00",""
"Jim Stembridge","2008 Special Session","2008-02-04T00:00:00",""
"Susan Cook","2008 Special Session","2008-02-04T00:00:00",""
"Theresa Van Winkle","2008 Special Session","2008-02-04T00:00:00",""
"Susan Cook","2008 Special Session","2008-02-04T00:00:00",""
"Beth Patrino","2008 Special Session","2008-02-04T00:00:00",""
"Erin Seiler","2008 Special Session","2008-02-04T00:00:00",""
"Rick Berkobien","2008 Special Session","2008-02-04T00:00:00",""
"Erin Seiler","2008 Special Session","2008-02-04T00:00:00",""
"Erin Seiler","2008 Special Session","2008-02-04T00:00:00",""
"Bill Taylor","2008 Special Session","2008-02-04T00:00:00",""
"Marjorie Taylor","2008 Special Session","2008-02-04T00:00:00",""
"Patrick Brennan","2008 Special Session","2008-02-04T00:00:00",""
"Susan Cook","2008 Special Session","2008-02-04T00:00:00",""
"Susan Cook","2008 Special Session","2008-02-04T00:00:00",""
"Bill Taylor","2008 Special Session","2008-02-04T00:00:00",""
"Erin Seiler","2008 Special Session","2008-02-04T00:00:00",""
"Rick Berkobien","2008 Special Session","2008-02-04T00:00:00",""
"Erin Seiler","2008 Special Session","2008-02-04T00:00:00",""
"Sandy Thiele-Cirka","2008 Special Session","2008-02-04T00:00:00",""
"Sue Marshall","2008 Special Session","2008-02-04T00:00:00",""
"Erin Seiler","2008 Special Session","2008-02-04T00:00:00",""
"Dana Richardson","2008 Special Session","2008-02-04T00:00:00",""
"Mike Reiley","2008 Special Session","2008-02-04T00:00:00",""
"Susan Cook","2008 Special Session","2008-02-04T00:00:00",""
"Marjorie Taylor","2008 Special Session","2008-02-04T00:00:00",""
"Susan Cook","2008 Special Session","2008-02-04T00:00:00",""
"Theresa Van Winkle","2008 Special Session","2008-02-04T00:00:00",""
"Mike Reiley","2008 Special Session","2008-02-04T00:00:00",""
"Marjorie Taylor","2008 Special Session","2008-02-04T00:00:00",""
"Mike Reiley","2008 Special Session","2008-02-04T00:00:00",""
"Patrick Brennan","2008 Special Session","2008-02-04T00:00:00",""
"Erin Seiler","2008 Special Session","2008-02-04T00:00:00",""
"Bill Taylor","2008 Special Session","2008-02-04T00:00:00",""
"Mike Reiley","2008 Special Session","2008-02-04T00:00:00",""
"Patrick Brennan","2009 Regular Session","2009-01-12T00:00:00","2009-06-29T00:00:00"
"Katie Mikesell","2009 Regular Session","2009-01-12T00:00:00","2009-06-29T00:00:00"
"David Molina","2009 Regular Session","2009-01-12T00:00:00","2009-06-29T00:00:00"
"Debbie Nealy","2009 Regular Session","2009-01-12T00:00:00","2009-06-29T00:00:00"
"Keith Bassett","2009 Regular Session","2009-01-12T00:00:00","2009-06-29T00:00:00"
"Scott Burgess","2009 Regular Session","2009-01-12T00:00:00","2009-06-29T00:00:00"
"Erin Seiler","2009 Regular Session","2009-01-12T00:00:00","2009-06-29T00:00:00"
"Ian Tolleson","2009 Regular Session","2009-01-12T00:00:00","2009-06-29T00:00:00"
"Terri Ruddell","2009 Regular Session","2009-01-12T00:00:00","2009-06-29T00:00:00"
"Dexter Johnson","2009 Regular Session","2009-01-12T00:00:00","2009-06-29T00:00:00"
